conf,adx,di_diff_min,side,n_trades,win_rate,profit_factor,avg_r,total_pnl,n_long,n_short
0.85,25,0.0,both,1278,0.5414710485133021,0.9054102826820716,-0.029361586177052045,-8582.549112948465,857,421
0.9,25,10.0,both,278,0.5467625899280576,0.8984664758690374,-0.040732514253231995,-2276.655025734435,164,114
0.8,30,10.0,long,393,0.5318066157760815,0.8967405767423187,-0.05167391013062625,-3404.080883802889,393,0
0.85,30,5.0,long,442,0.5248868778280543,0.8955601480949199,-0.04947412952435694,-3822.980421133375,442,0
0.85,25,0.0,long,873,0.5315005727376861,0.891597828499778,-0.03976525657406616,-7405.014597996442,873,0
0.85,30,0.0,long,636,0.5235849056603774,0.887731596581092,-0.04397349689520273,-5703.134236530134,636,0
0.9,30,5.0,both,347,0.547550432276657,0.8847786878625278,-0.04493497986632952,-3338.971285791245,266,81
0.8,35,0.0,both,728,0.5521978021978022,0.8781744507409402,-0.04860734308624488,-6748.750327424392,521,207
0.9,25,5.0,both,482,0.5435684647302904,0.8741797805556693,-0.04907393529144502,-4889.4265341508835,343,139
0.9,25,0.0,both,694,0.5288184438040345,0.8681599954600545,-0.05534009615219096,-7507.660263212327,532,162
0.9,25,5.0,long,343,0.5364431486880467,0.8597440671435143,-0.054395820951965414,-4064.5428359599264,343,0
0.9,30,5.0,long,266,0.5413533834586466,0.8553324730189621,-0.05665686880736559,-3326.2434082311706,266,0
0.8,30,0.0,both,1137,0.5321020228671943,0.8553180779093649,-0.06334347570780637,-11510.546670878299,766,371
0.9,25,10.0,long,164,0.524390243902439,0.8528824052668376,-0.060568871316152774,-2132.251415402715,164,0
0.9,25,0.0,long,533,0.5196998123827392,0.8408669254990172,-0.07000688034774015,-7224.2053889756535,533,0
0.8,25,5.0,both,1323,0.5404383975812547,0.8349976975653463,-0.064441733533804,-13909.271328346284,790,533
0.8,25,5.0,short,583,0.5471698113207547,0.8321907413465623,-0.06152298980850748,-7042.963180694298,0,583
0.8,35,5.0,long,394,0.5431472081218274,0.826767573055167,-0.07389648472486442,-5383.958776514412,394,0
0.8,30,5.0,long,598,0.5133779264214047,0.8225639640133695,-0.0892079472168337,-8765.298291973091,598,0
0.9,30,10.0,both,200,0.545,0.812462795367876,-0.07730470965336327,-3207.92564597885,131,69
0.8,25,0.0,short,692,0.5390173410404624,0.809808495148023,-0.07074765912551206,-9242.108468519358,0,692
0.8,25,5.0,long,831,0.5258724428399518,0.8053321683766108,-0.08500682912547694,-12299.308479649777,831,0
0.8,35,10.0,long,273,0.5384615384615384,0.8034340636658435,-0.08372144200475966,-4324.242193440165,273,0
0.9,30,15.0,short,45,0.5555555555555556,0.8030233785533628,-0.08046475158720834,-768.5742110754562,0,45
0.8,25,0.0,both,1641,0.5258988421694089,0.7914709674346657,-0.07592364971201077,-19876.19977818137,1051,590
0.8,30,0.0,long,805,0.5018633540372671,0.7622344870341627,-0.11011135842955486,-14767.391194628968,805,0
0.9,35,10.0,long,94,0.5531914893617021,0.7610852945422807,-0.10197125127449504,-1896.553222162017,94,0
0.9,30,10.0,long,131,0.5343511450381679,0.7544535564233393,-0.1072037686604395,-2875.776001088945,131,0
0.8,35,0.0,long,538,0.5223048327137546,0.7518025323853984,-0.11322140747725895,-10595.425199862428,538,0
0.8,25,0.0,long,1122,0.5071301247771836,0.7506347953935272,-0.10889855373526837,-19225.469386190587,1122,0
